inscricao;ci;bairro;quadra;lote;endereco;complemento;edificio;uso;area_terreno_m2;area_construida_m2;valor_venal;ref_mercado_4.2x;rs_m2;lat;lon
"30406900300019";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.101";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300027";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.102 + ESC-5";"RES.SUMER PARK";"Comercial/Serviço";"1037,5";"195";"437022,58";"1835495";"2241";"-16,712068";"-49,266797"
"30406900300035";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.201";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300043";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.202";"RES.SUMER PARK";"Residencial";"1037,5";"193,5";"433660,87";"1821376";"2241";"-16,712068";"-49,266797"
"30406900300051";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.301";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300060";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.302";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300078";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.401";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300086";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.402";"RES.SUMER PARK";"Residencial";"1037,5";"193,5";"433660,87";"1821376";"2241";"-16,712068";"-49,266797"
"30406900300094";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.501";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300108";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.502";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300116";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.601 + ESC";"RES.SUMER PARK";"Residencial";"1037,5";"197,69";"443051,25";"1860815";"2241";"-16,712068";"-49,266797"
"30406900300124";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.602";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300132";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.701+ESC03";"RES.SUMER PARK";"Residencial";"1037,5";"198";"443746";"1863733";"2241";"-16,712068";"-49,266797"
"30406900300140";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"AP702ES04";"RES.SUMER PARK";"Residencial";"1037,5";"198";"443746";"1863733";"2241";"-16,712068";"-49,266797"
"30406900300159";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.801";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300167";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.802";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300175";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.901";"RES.SUMER PARK";"Comercial/Serviço";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300183";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.902";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300191";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.1001";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300205";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.1002";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300213";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.1101";"RES.SUMER PARK";"Residencial";"1037,5";"193,5";"433660,87";"1821376";"2241";"-16,712068";"-49,266797"
"30406900300221";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.1102";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300230";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT1201";"RES.SUMER PARK";"Comercial/Serviço";"1037,5";"193,5";"433660,87";"1821376";"2241";"-16,712068";"-49,266797"
"30406900300248";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.1202";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300256";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.1301";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"
"30406900300264";"3040690030";"SET BUENO";"128";"08E";"AV AV T4";"APT.1302";"RES.SUMER PARK";"Residencial";"1037,5";"193";"432540,3";"1816669";"2241";"-16,712068";"-49,266797"